Timestamp,Temperature(Â°C),Humidity(%),SoundLevel(dB),MachineHealth,
18/05/2025 21:24:17,32.80,80.00,0.00,Warning,
18/05/2025 21:24:25,32.80,80.00,0.00,Warning,
18/05/2025 21:24:32,32.80,80.00,0.00,Warning,
18/05/2025 21:24:40,32.80,80.00,0.00,Warning,
18/05/2025 21:24:48,32.80,80.00,0.00,Warning,
18/05/2025 21:24:55,32.80,80.00,0.00,Warning,
18/05/2025 21:25:03,32.80,80.00,0.00,Warning,
18/05/2025 21:25:11,32.80,80.00,0.00,Warning,
18/05/2025 21:25:19,32.80,80.00,0.00,Warning,
18/05/2025 21:25:27,32.80,80.00,0.00,Warning,
18/05/2025 21:25:35,32.80,80.00,3.00,Warning,
18/05/2025 21:25:43,32.80,80.00,1.00,Warning,
18/05/2025 21:25:50,32.80,80.00,1.00,Warning,
18/05/2025 21:25:58,32.80,79.00,0.00,Warning,
18/05/2025 21:26:06,32.80,79.00,0.00,Warning,
18/05/2025 21:26:14,32.80,79.00,1.00,Warning,
18/05/2025 21:26:21,32.80,79.00,3.00,Warning,
18/05/2025 21:26:29,32.80,79.00,0.00,Warning,
18/05/2025 21:26:36,32.80,79.00,1.00,Warning,
18/05/2025 21:26:44,32.80,79.00,0.00,Warning,
18/05/2025 21:26:51,32.80,79.00,0.00,Warning,
18/05/2025 21:26:59,32.80,80.00,2.00,Warning,
18/05/2025 21:27:08,32.80,80.00,0.00,Warning,
18/05/2025 21:27:15,32.80,80.00,0.00,Warning,
18/05/2025 21:27:23,32.80,80.00,3.00,Warning,
18/05/2025 21:27:31,32.80,80.00,0.00,Warning,
18/05/2025 21:27:38,32.80,80.00,1.00,Warning,
18/05/2025 21:27:47,32.80,80.00,0.00,Warning,
18/05/2025 21:27:55,32.80,81.00,0.00,Warning,
18/05/2025 21:28:03,32.80,81.00,0.00,Warning,
18/05/2025 21:28:11,32.80,81.00,2.00,Warning,
18/05/2025 21:28:18,32.80,81.00,0.00,Warning,
18/05/2025 21:28:26,32.80,82.00,3.00,Warning,
18/05/2025 21:28:34,32.80,82.00,1.00,Warning,
18/05/2025 21:28:42,32.80,82.00,1.00,Warning,
18/05/2025 21:28:49,32.80,82.00,0.00,Warning,
18/05/2025 21:28:57,32.80,82.00,0.00,Warning,
18/05/2025 21:29:05,32.80,83.00,4.00,Warning,
18/05/2025 21:29:12,32.80,83.00,0.00,Warning,
18/05/2025 21:29:21,32.80,83.00,1.00,Warning,
18/05/2025 21:29:29,32.80,83.00,0.00,Warning,
18/05/2025 21:29:37,32.80,83.00,0.00,Warning,
18/05/2025 21:29:44,32.80,83.00,1.00,Warning,
18/05/2025 21:29:52,32.80,83.00,0.00,Warning,
18/05/2025 21:30:00,32.80,83.00,1.00,Warning,
18/05/2025 21:30:08,32.80,83.00,0.00,Warning,
18/05/2025 21:30:17,32.50,83.00,3.00,Warning,
18/05/2025 21:30:24,32.30,83.00,0.00,Warning,
18/05/2025 21:30:32,32.30,83.00,0.00,Warning,
18/05/2025 21:30:40,32.30,83.00,0.00,Warning,
18/05/2025 21:30:48,32.30,83.00,0.00,Warning,
18/05/2025 21:30:57,32.30,83.00,0.00,Warning,
18/05/2025 21:31:05,32.80,84.00,0.00,Warning,
18/05/2025 21:31:13,32.80,84.00,0.00,Warning,
18/05/2025 21:31:20,32.80,84.00,0.00,Warning,
18/05/2025 21:31:28,32.80,84.00,1.00,Warning,
18/05/2025 21:31:36,32.80,84.00,0.00,Warning,
18/05/2025 21:31:43,32.80,84.00,1.00,Warning,
18/05/2025 21:31:51,32.80,84.00,0.00,Warning,
18/05/2025 21:31:58,32.40,84.00,0.00,Warning,
18/05/2025 21:32:06,32.30,84.00,2.00,Warning,
18/05/2025 21:32:14,32.30,84.00,1.00,Warning,
18/05/2025 21:32:22,32.30,84.00,0.00,Warning,
18/05/2025 21:32:29,32.30,84.00,0.00,Warning,
18/05/2025 21:32:37,32.30,84.00,1.00,Warning,
18/05/2025 21:32:44,32.30,85.00,0.00,Warning,
18/05/2025 21:32:52,32.30,85.00,0.00,Warning,
18/05/2025 21:33:00,32.30,85.00,3.00,Warning,
18/05/2025 21:33:07,32.30,85.00,1.00,Warning,
18/05/2025 21:33:15,32.30,85.00,0.00,Warning,
18/05/2025 21:33:22,32.30,85.00,0.00,Warning,
18/05/2025 21:33:30,32.30,85.00,0.00,Warning,
18/05/2025 21:33:37,32.30,85.00,2.00,Warning,
18/05/2025 21:33:45,32.30,86.00,0.00,Warning,
18/05/2025 21:33:52,32.30,86.00,0.00,Warning,
18/05/2025 21:34:00,32.30,86.00,0.00,Warning,
18/05/2025 21:34:07,32.30,86.00,0.00,Warning,
18/05/2025 21:34:15,32.30,86.00,0.00,Warning,
18/05/2025 21:34:23,31.80,86.00,0.00,Warning,
18/05/2025 21:34:30,31.80,87.00,0.00,Warning,
18/05/2025 21:34:38,31.80,87.00,1.00,Warning,
18/05/2025 21:34:45,31.80,87.00,0.00,Warning,
18/05/2025 21:34:54,31.80,87.00,0.00,Warning,
18/05/2025 21:35:01,31.80,87.00,0.00,Warning,
18/05/2025 21:35:09,31.80,87.00,1.00,Warning,
18/05/2025 21:35:16,31.80,87.00,1.00,Warning,
18/05/2025 21:35:24,31.80,87.00,0.00,Warning,
18/05/2025 21:35:31,31.80,87.00,0.00,Warning,
18/05/2025 21:35:39,31.80,88.00,0.00,Warning,
18/05/2025 21:35:46,31.80,88.00,2.00,Warning,
18/05/2025 21:35:54,31.80,88.00,1.00,Warning,
18/05/2025 21:36:02,31.80,88.00,0.00,Warning,
18/05/2025 21:36:09,31.80,88.00,2.00,Warning,
18/05/2025 21:36:16,31.80,88.00,0.00,Warning,
18/05/2025 21:36:24,31.80,88.00,0.00,Warning,
18/05/2025 21:36:32,31.80,89.00,0.00,Warning,
18/05/2025 21:36:39,31.80,89.00,0.00,Warning,
18/05/2025 21:36:46,31.80,89.00,0.00,Warning,
18/05/2025 21:36:54,31.80,89.00,1.00,Warning,
18/05/2025 21:37:01,31.40,90.00,0.00,Warning,
18/05/2025 21:37:09,31.60,90.00,0.00,Warning,
18/05/2025 21:37:17,31.70,90.00,0.00,Warning,
18/05/2025 21:37:24,31.80,90.00,2.00,Warning,
18/05/2025 21:37:32,31.80,90.00,0.00,Warning,
18/05/2025 21:37:40,31.80,90.00,2.00,Warning,
18/05/2025 21:37:47,31.80,90.00,0.00,Warning,
18/05/2025 21:37:55,31.80,90.00,0.00,Warning,
18/05/2025 21:38:03,31.80,90.00,0.00,Warning,
18/05/2025 21:38:11,31.80,90.00,0.00,Warning,
18/05/2025 21:38:19,31.80,90.00,0.00,Warning,
18/05/2025 21:38:26,31.80,90.00,0.00,Warning,
18/05/2025 21:38:35,31.80,90.00,0.00,Warning,
18/05/2025 21:38:42,31.80,90.00,1.00,Warning,
18/05/2025 21:38:50,31.80,90.00,0.00,Warning,
18/05/2025 21:38:57,31.80,90.00,1.00,Warning,
18/05/2025 21:39:05,31.80,90.00,0.00,Warning,
18/05/2025 21:39:13,31.80,90.00,0.00,Warning,
18/05/2025 21:39:20,31.80,90.00,2.00,Warning,
18/05/2025 21:39:30,31.80,90.00,0.00,Warning,
18/05/2025 21:39:37,31.80,90.00,0.00,Warning,
18/05/2025 21:39:45,31.80,90.00,0.00,Warning,
18/05/2025 21:39:53,31.80,90.00,0.00,Warning,
18/05/2025 21:40:00,31.80,90.00,2.00,Warning,
18/05/2025 21:40:08,31.80,90.00,0.00,Warning,
18/05/2025 21:40:15,31.80,90.00,0.00,Warning,
18/05/2025 21:40:23,31.80,90.00,0.00,Warning,
18/05/2025 21:40:31,31.80,90.00,0.00,Warning,
18/05/2025 21:40:38,31.80,90.00,2.00,Warning,
18/05/2025 21:40:46,31.40,90.00,0.00,Warning,
18/05/2025 21:40:54,31.70,90.00,1.00,Warning,
18/05/2025 21:41:02,31.80,90.00,1.00,Warning,
18/05/2025 21:41:09,31.80,90.00,1.00,Warning,
18/05/2025 21:41:17,31.80,90.00,1.00,Warning,
18/05/2025 21:41:25,31.80,90.00,1.00,Warning,
18/05/2025 21:41:33,31.80,90.00,1.00,Warning,
18/05/2025 21:41:51,31.80,90.00,0.00,Warning,
18/05/2025 21:41:52,31.80,90.00,1.00,Warning,
18/05/2025 21:41:59,31.30,90.00,1.00,Warning,
18/05/2025 21:42:08,31.30,90.00,2.00,Warning,
18/05/2025 21:42:15,31.30,90.00,0.00,Warning,
18/05/2025 21:42:23,31.30,90.00,1.00,Warning,
18/05/2025 21:42:30,31.40,90.00,0.00,Warning,
18/05/2025 21:42:38,31.80,90.00,0.00,Warning,
18/05/2025 21:42:46,31.80,90.00,0.00,Warning,
18/05/2025 21:42:53,31.80,90.00,0.00,Warning,
18/05/2025 21:43:01,31.80,90.00,0.00,Warning,
18/05/2025 21:43:09,31.80,90.00,0.00,Warning,
18/05/2025 21:43:16,31.80,90.00,1.00,Warning,
18/05/2025 21:43:24,31.80,90.00,0.00,Warning,
18/05/2025 21:43:32,31.80,90.00,0.00,Warning,
18/05/2025 21:43:40,31.80,90.00,2.00,Warning,
18/05/2025 21:43:49,31.80,90.00,1.00,Warning,
18/05/2025 21:43:56,31.80,90.00,1.00,Warning,
18/05/2025 21:44:05,31.80,90.00,0.00,Warning,
18/05/2025 21:44:13,31.80,90.00,0.00,Warning,
18/05/2025 21:44:20,31.80,90.00,0.00,Warning,
18/05/2025 21:44:28,31.80,90.00,0.00,Warning,
18/05/2025 21:44:35,31.80,90.00,1.00,Warning,
18/05/2025 21:44:44,31.80,90.00,0.00,Warning,
18/05/2025 21:44:51,31.80,90.00,0.00,Warning,
18/05/2025 21:44:58,31.80,90.00,1.00,Warning,
18/05/2025 21:45:06,31.80,90.00,2.00,Warning,
18/05/2025 21:45:14,31.80,90.00,0.00,Warning,
18/05/2025 21:45:22,31.80,90.00,1.00,Warning,
18/05/2025 21:45:30,31.80,90.00,1.00,Warning,
18/05/2025 21:45:38,31.80,90.00,0.00,Warning,
18/05/2025 21:45:46,31.80,90.00,0.00,Warning,
18/05/2025 21:45:53,31.80,90.00,0.00,Warning,
18/05/2025 21:46:01,31.80,90.00,0.00,Warning,
18/05/2025 21:46:08,31.80,90.00,1.00,Warning,
18/05/2025 21:46:16,31.80,90.00,0.00,Warning,
18/05/2025 21:46:24,31.80,90.00,0.00,Warning,
18/05/2025 21:46:33,31.80,90.00,1.00,Warning,
18/05/2025 21:46:40,31.80,90.00,0.00,Warning,
18/05/2025 21:46:47,31.80,90.00,1.00,Warning,
18/05/2025 21:46:55,31.80,90.00,0.00,Warning,
18/05/2025 21:47:04,31.80,90.00,0.00,Warning,
18/05/2025 21:47:11,31.80,90.00,0.00,Warning,
18/05/2025 21:47:20,31.80,90.00,0.00,Warning,
18/05/2025 21:47:27,31.80,90.00,2.00,Warning,
18/05/2025 21:47:37,31.80,90.00,1.00,Warning,
18/05/2025 21:47:46,31.80,90.00,0.00,Warning,
18/05/2025 21:47:54,31.80,90.00,0.00,Warning,
18/05/2025 21:48:01,31.80,90.00,1.00,Warning,
18/05/2025 21:48:09,31.80,90.00,0.00,Warning,
18/05/2025 21:48:17,31.80,90.00,3.00,Warning,
18/05/2025 21:48:24,31.80,90.00,0.00,Warning,
18/05/2025 21:48:33,31.80,90.00,0.00,Warning,
18/05/2025 21:48:41,31.80,90.00,1.00,Warning,
18/05/2025 21:48:50,31.80,90.00,0.00,Warning,
18/05/2025 21:48:58,31.80,90.00,0.00,Warning,
18/05/2025 21:49:05,31.80,90.00,0.00,Warning,
18/05/2025 21:49:13,31.80,90.00,0.00,Warning,
18/05/2025 21:49:20,31.80,90.00,1.00,Warning,
18/05/2025 21:49:28,31.80,90.00,0.00,Warning,
18/05/2025 21:49:37,31.80,90.00,0.00,Warning,
18/05/2025 21:49:45,31.80,90.00,0.00,Warning,
18/05/2025 21:49:52,31.80,90.00,1.00,Warning,
18/05/2025 21:50:00,31.80,90.00,0.00,Warning,
18/05/2025 21:50:08,31.80,90.00,0.00,Warning,
18/05/2025 21:50:17,31.80,90.00,0.00,Warning,
18/05/2025 21:50:25,31.80,90.00,0.00,Warning,
18/05/2025 21:50:33,31.80,90.00,0.00,Warning,
18/05/2025 21:50:41,31.80,90.00,1.00,Warning,
18/05/2025 21:50:49,31.80,90.00,0.00,Warning,
18/05/2025 21:50:57,31.80,90.00,0.00,Warning,
18/05/2025 21:51:04,31.80,90.00,0.00,Warning,
18/05/2025 21:51:12,31.80,90.00,0.00,Warning,
18/05/2025 21:51:19,31.80,90.00,0.00,Warning,
18/05/2025 21:51:27,31.80,90.00,0.00,Warning,
18/05/2025 21:51:35,31.80,90.00,1.00,Warning,
18/05/2025 21:51:43,31.80,90.00,0.00,Warning,
18/05/2025 21:51:50,31.80,90.00,0.00,Warning,
18/05/2025 21:51:58,31.80,90.00,0.00,Warning,
18/05/2025 21:52:06,31.80,90.00,0.00,Warning,
18/05/2025 21:52:13,31.80,90.00,1.00,Warning,
18/05/2025 21:52:21,31.80,90.00,0.00,Warning,
18/05/2025 21:52:29,31.80,90.00,1.00,Warning,
18/05/2025 21:52:37,31.80,90.00,0.00,Warning,
18/05/2025 21:52:44,31.80,90.00,0.00,Warning,
18/05/2025 21:52:52,31.80,90.00,0.00,Warning,
18/05/2025 21:53:01,31.80,90.00,1.00,Warning,
18/05/2025 21:53:08,31.80,90.00,0.00,Warning,
18/05/2025 21:53:16,31.80,90.00,0.00,Warning,
18/05/2025 21:53:23,31.80,90.00,1.00,Warning,
18/05/2025 21:53:31,31.80,90.00,1.00,Warning,
18/05/2025 21:53:39,31.80,90.00,1.00,Warning,
18/05/2025 21:53:46,31.80,90.00,0.00,Warning,
18/05/2025 21:53:53,31.80,90.00,0.00,Warning,
18/05/2025 21:54:01,31.80,90.00,0.00,Warning,
18/05/2025 21:54:09,31.80,90.00,1.00,Warning,
18/05/2025 21:54:16,31.80,90.00,2.00,Warning,
18/05/2025 21:54:24,31.80,90.00,4.00,Warning,
18/05/2025 21:54:31,31.30,90.00,2.00,Warning,
18/05/2025 21:54:39,31.30,90.00,0.00,Warning,
18/05/2025 21:54:47,31.30,90.00,0.00,Warning,
18/05/2025 21:54:54,31.30,90.00,0.00,Warning,
18/05/2025 21:55:02,31.30,90.00,0.00,Warning,
18/05/2025 21:55:09,31.30,90.00,0.00,Warning,
18/05/2025 21:55:17,31.30,90.00,1.00,Warning,
18/05/2025 21:55:26,31.30,90.00,0.00,Warning,
18/05/2025 21:55:33,31.30,90.00,0.00,Warning,
18/05/2025 21:55:41,31.30,90.00,0.00,Warning,
18/05/2025 21:55:48,31.30,90.00,0.00,Warning,
18/05/2025 21:55:56,31.30,90.00,0.00,Warning,
18/05/2025 21:56:03,31.30,90.00,2.00,Warning,
18/05/2025 21:56:11,31.30,90.00,3.00,Warning,
18/05/2025 21:56:18,31.30,90.00,0.00,Warning,
18/05/2025 21:56:25,31.30,91.00,0.00,Warning,
18/05/2025 21:56:33,31.30,90.00,0.00,Warning,
